Date,Open,High,Low,Close,Adj Close,Volume
2002-03-04,7010.000000,7260.000000,7000.000000,7000.000000,5329.323730,60950000
2002-03-05,7270.000000,7280.000000,7120.000000,7220.000000,5496.815918,48115000
2002-03-06,7220.000000,7360.000000,7150.000000,7260.000000,5527.270020,30955000
2002-03-07,7370.000000,7370.000000,7110.000000,7120.000000,5420.681152,24780000
2002-03-08,7100.000000,7150.000000,6910.000000,6980.000000,5314.097656,36710000
2002-03-11,7000.000000,7040.000000,6870.000000,6970.000000,5306.483398,36135000
2002-03-12,6880.000000,7070.000000,6860.000000,7060.000000,5375.003418,39365000
2002-03-13,6910.000000,7050.000000,6910.000000,6960.000000,5298.870605,33440000
2002-03-14,6890.000000,6900.000000,6580.000000,6880.000000,5237.963867,105785000
2002-03-15,6680.000000,6730.000000,6580.000000,6600.000000,5024.791504,71515000
2002-03-18,6700.000000,6720.000000,6580.000000,6640.000000,5055.244629,51835000
2002-03-19,6660.000000,6980.000000,6660.000000,6980.000000,5314.097656,63005000
2002-03-20,7020.000000,7120.000000,6930.000000,6980.000000,5314.097656,43105000
2002-03-21,6800.000000,6910.000000,6800.000000,6830.000000,5199.896484,33605000
2002-03-22,6900.000000,7140.000000,6790.000000,7010.000000,5336.937500,48595000
2002-03-25,7060.000000,7060.000000,6800.000000,6800.000000,5177.056152,54505000
2002-03-26,6770.000000,6980.000000,6730.000000,6980.000000,5314.097656,42195000
2002-03-27,7000.000000,7310.000000,7000.000000,7270.000000,5534.882813,61410000
2002-03-28,7250.000000,7400.000000,7150.000000,7150.000000,5443.524414,39260000
2002-03-29,7300.000000,7420.000000,7260.000000,7360.000000,5603.404297,36935000
2002-04-01,7500.000000,7690.000000,7410.000000,7480.000000,5694.763672,57465000
2002-04-02,7560.000000,7970.000000,7400.000000,7970.000000,6067.815918,78395000
2002-04-03,7950.000000,8100.000000,7860.000000,8080.000000,6151.562500,60430000
2002-04-04,7980.000000,7980.000000,7730.000000,7780.000000,5923.161133,70795000
2002-04-05,7780.000000,7780.000000,7780.000000,7780.000000,5923.161133,0
